datetime,year,month,day,hour,weekday,temperature,humidity,rainfall,wind_speed,weather_state,electricity_demand,renewable_generation,transformer_load,risk_score,risk_level,district,area_type,substation_id,feeder_id,transformer_age,transformer_capacity,outage_history,maintenance_due,population_density,industrial_load_ratio
2021-01-01 00:00:00,2021,1,1,0,4,16.98,78.63,0.0,5.94,Sunny,89.91,8.99,35.96,46.48,Low,Cox's Bazar,Rural,SS_009,FDR_09,19,200,8,No,1633,0.05
2021-01-01 00:00:00,2021,1,1,0,4,17.14,80.51,0.0,6.82,Sunny,43.99,4.4,17.6,41.03,Low,Chattogram,Rural,SS_049,FDR_06,24,350,0,Yes,818,0.06
2021-01-01 00:00:00,2021,1,1,0,4,19.6,81.1,0.0,4.68,Sunny,47.54,4.75,19.01,42.34,Low,Rangamati,Rural,SS_020,FDR_11,24,300,9,Yes,793,0.17
2021-01-01 00:00:00,2021,1,1,0,4,18.28,81.49,0.0,2.4,Sunny,79.04,7.9,31.62,25.9,Low,Chandpur,Rural,SS_030,FDR_10,12,400,7,Yes,1404,0.28
2021-01-01 00:00:00,2021,1,1,0,4,19.29,80.62,0.0,3.18,Sunny,378.53,37.85,151.41,79.26,Medium,Noakhali,Urban,SS_022,FDR_01,24,350,1,No,6729,0.49
2021-01-01 02:00:00,2021,1,1,2,4,20.05,75.74,0.0,4.85,Sunny,100.7,10.07,40.28,44.14,Low,Rangamati,Rural,SS_049,FDR_14,16,200,2,No,1729,0.09
2021-01-01 02:00:00,2021,1,1,2,4,19.64,80.21,0.0,6.85,Sunny,89.53,8.95,35.81,27.82,Low,Bandarban,Rural,SS_019,FDR_03,9,250,4,Yes,1551,0.04
2021-01-01 02:00:00,2021,1,1,2,4,19.21,80.88,0.0,4.42,Sunny,80.5,8.05,32.2,46.1,Low,Chandpur,Rural,SS_007,FDR_15,20,200,6,Yes,1435,0.0
2021-01-01 02:00:00,2021,1,1,2,4,18.74,82.14,0.0,7.08,Sunny,972.61,97.26,389.04,143.18,High,Cumilla,Urban,SS_048,FDR_08,9,300,3,Yes,16489,0.42
2021-01-01 04:00:00,2021,1,1,4,4,18.68,75.28,0.0,4.67,Sunny,786.58,78.66,314.63,92.16,High,Chandpur,Urban,SS_020,FDR_19,9,400,1,No,13022,0.57
2021-01-01 04:00:00,2021,1,1,4,4,18.51,78.58,0.0,3.38,Sunny,53.84,5.38,21.54,31.11,Low,Rangamati,Rural,SS_042,FDR_18,15,250,6,Yes,967,0.12
2021-01-01 04:00:00,2021,1,1,4,4,18.98,82.96,0.0,5.81,Sunny,101.99,10.2,40.8,25.16,Low,Chandpur,Rural,SS_022,FDR_18,9,350,6,No,1783,0.22
2021-01-01 04:00:00,2021,1,1,4,4,19.62,83.46,0.0,4.67,Sunny,92.24,9.22,36.9,48.45,Low,Chandpur,Rural,SS_007,FDR_15,20,200,6,Yes,1435,0.0
2021-01-01 04:00:00,2021,1,1,4,4,18.6,81.31,0.0,5.67,Sunny,83.39,8.34,33.36,24.18,Low,Lakshmipur,Rural,SS_027,FDR_17,5,200,2,No,1475,0.13
2021-01-01 06:00:00,2021,1,1,6,4,18.97,79.07,0.0,2.65,Sunny,73.89,7.39,29.56,20.89,Low,Cox's Bazar,Rural,SS_045,FDR_05,9,400,10,Yes,1256,0.17
2021-01-01 06:00:00,2021,1,1,6,4,19.68,81.73,0.0,4.2,Sunny,94.63,9.46,37.85,33.14,Low,Cumilla,Rural,SS_011,FDR_15,12,250,7,No,1593,0.01
2021-01-01 06:00:00,2021,1,1,6,4,19.72,78.98,0.0,7.78,Sunny,984.49,98.45,393.8,144.77,High,Cumilla,Urban,SS_048,FDR_08,9,300,3,Yes,16489,0.42
2021-01-01 06:00:00,2021,1,1,6,4,19.27,82.61,0.0,2.28,Sunny,67.57,6.76,27.03,28.51,Low,Cumilla,Rural,SS_038,FDR_08,10,200,4,No,1117,0.26
2021-01-01 06:00:00,2021,1,1,6,4,18.32,81.32,0.0,6.56,Sunny,94.45,9.45,37.78,42.59,Low,Noakhali,Rural,SS_036,FDR_17,20,300,7,Yes,1627,0.1
2021-01-01 08:00:00,2021,1,1,8,4,18.16,80.2,0.0,4.36,Sunny,63.25,6.33,25.3,39.33,Low,Lakshmipur,Rural,SS_010,FDR_05,22,400,3,Yes,857,0.03
2021-01-01 08:00:00,2021,1,1,8,4,18.49,81.84,0.0,6.54,Sunny,134.47,13.45,53.79,49.43,Low,Cumilla,Rural,SS_044,FDR_07,21,300,1,Yes,1860,0.28
2021-01-01 08:00:00,2021,1,1,8,4,18.17,81.83,0.0,6.6,Sunny,89.91,8.99,35.96,35.99,Low,Chattogram,Rural,SS_020,FDR_17,18,400,2,Yes,1265,0.23
2021-01-01 08:00:00,2021,1,1,8,4,20.53,78.49,0.0,7.35,Sunny,49.06,4.91,19.62,33.35,Low,Khagrachhari,Rural,SS_020,FDR_13,17,250,4,Yes,673,0.09
2021-01-01 08:00:00,2021,1,1,8,4,19.24,78.66,0.0,7.34,Sunny,116.17,11.62,46.47,45.49,Low,Noakhali,Rural,SS_036,FDR_17,20,300,7,Yes,1627,0.1
2021-01-01 10:00:00,2021,1,1,10,4,18.31,80.66,0.0,7.49,Sunny,66.86,6.69,26.74,36.2,Low,Lakshmipur,Rural,SS_022,FDR_08,17,250,4,No,920,0.02
2021-01-01 10:00:00,2021,1,1,10,4,18.83,77.47,0.0,6.23,Sunny,76.92,7.69,30.77,30.38,Low,Brahmanbaria,Rural,SS_019,FDR_15,10,200,8,No,1041,0.24
2021-01-01 10:00:00,2021,1,1,10,4,18.84,82.04,0.0,4.33,Sunny,90.26,9.03,36.1,36.03,Low,Chattogram,Rural,SS_020,FDR_17,18,400,2,Yes,1265,0.23
2021-01-01 10:00:00,2021,1,1,10,4,18.03,81.92,0.0,3.41,Sunny,55.8,5.58,22.32,32.16,Low,Brahmanbaria,Rural,SS_036,FDR_14,14,200,7,Yes,732,0.14
2021-01-01 10:00:00,2021,1,1,10,4,19.02,79.65,0.0,4.05,Sunny,49.04,4.9,19.62,33.4,Low,Brahmanbaria,Rural,SS_028,FDR_11,19,400,1,Yes,687,0.07
2021-01-01 12:00:00,2021,1,1,12,4,20.05,77.4,0.0,7.63,Sunny,82.73,8.27,33.09,33.05,Low,Chattogram,Rural,SS_042,FDR_04,11,200,1,No,1194,0.24
2021-01-01 12:00:00,2021,1,1,12,4,18.65,81.35,0.0,2.85,Sunny,1019.85,101.98,407.94,165.98,High,Bandarban,Urban,SS_034,FDR_02,20,300,3,No,15125,0.43
2021-01-01 12:00:00,2021,1,1,12,4,18.4,81.79,0.0,4.94,Sunny,47.78,4.78,19.11,34.87,Low,Khagrachhari,Rural,SS_039,FDR_02,19,300,7,Yes,693,0.17
2021-01-01 12:00:00,2021,1,1,12,4,17.81,82.39,0.0,6.11,Sunny,85.84,8.58,34.34,32.58,Low,Chattogram,Rural,SS_025,FDR_09,16,400,3,Yes,1164,0.25
2021-01-01 12:00:00,2021,1,1,12,4,17.95,79.93,0.0,4.96,Sunny,124.54,12.45,49.82,27.73,Low,Chandpur,Rural,SS_022,FDR_18,9,350,6,No,1783,0.22
2021-01-01 14:00:00,2021,1,1,14,4,18.87,77.83,0.0,6.5,Sunny,83.68,8.37,33.47,32.37,Low,Chattogram,Rural,SS_025,FDR_09,16,400,3,Yes,1164,0.25
2021-01-01 14:00:00,2021,1,1,14,4,19.23,80.26,0.0,5.37,Sunny,118.89,11.89,47.56,53.35,Low,Brahmanbaria,Rural,SS_004,FDR_06,25,300,9,Yes,1665,0.28
2021-01-01 14:00:00,2021,1,1,14,4,18.55,81.07,0.0,3.17,Sunny,47.1,4.71,18.84,34.78,Low,Khagrachhari,Rural,SS_039,FDR_02,19,300,7,Yes,693,0.17
2021-01-01 14:00:00,2021,1,1,14,4,18.54,81.14,0.0,3.15,Sunny,40.49,4.05,16.2,13.05,Low,Khagrachhari,Rural,SS_022,FDR_03,6,400,7,No,580,0.07
2021-01-01 14:00:00,2021,1,1,14,4,20.26,74.75,0.0,4.11,Sunny,55.35,5.54,22.14,38.86,Low,Cumilla,Rural,SS_044,FDR_10,20,250,2,No,801,0.01
2021-01-01 16:00:00,2021,1,1,16,4,18.44,76.11,0.0,4.36,Sunny,118.48,11.85,47.39,53.3,Low,Brahmanbaria,Rural,SS_004,FDR_06,25,300,9,Yes,1665,0.28
2021-01-01 16:00:00,2021,1,1,16,4,19.02,79.38,0.0,2.63,Sunny,80.01,8.0,32.01,40.64,Low,Cumilla,Rural,SS_007,FDR_20,21,350,6,Yes,1142,0.13
2021-01-01 16:00:00,2021,1,1,16,4,18.44,82.44,0.0,7.58,Sunny,76.42,7.64,30.57,31.78,Low,Chattogram,Rural,SS_042,FDR_04,11,200,1,No,1194,0.24
2021-01-01 16:00:00,2021,1,1,16,4,19.79,77.48,0.0,2.92,Sunny,76.91,7.69,30.76,45.38,Low,Brahmanbaria,Rural,SS_026,FDR_18,20,200,5,Yes,1144,0.08
